Customer: Premium $546.06, Excess $500, Half-excess 2, Category power, Postcode 2000, Sum insured $22222, Year built 2021, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $319.14, Excess $1000, Half-excess 2, Category power, Postcode 3064, Sum insured $20000, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $673.70, Excess $1000, Half-excess 2, Category power, Postcode 3741, Sum insured $28000, Year built 1985, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $459.68, Excess $1000, Half-excess 2, Category power, Postcode 2763, Sum insured $25000, Year built 1998, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $399.75, Excess $950, Half-excess 2, Category power, Postcode 2830, Sum insured $11000, Year built 1980, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $587.44, Excess $1000, Half-excess 2, Category power, Postcode 4854, Sum insured $18000, Year built 1987, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $1005.98, Excess $1250, Half-excess 2, Category power, Postcode 3912, Sum insured $40000, Year built 1983, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1005.98, Excess $1250, Half-excess 2, Category power, Postcode 3912, Sum insured $40000, Year built 1983, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $195.47, Excess $950, Half-excess 2, Category power, Postcode 2767, Sum insured $3300, Year built 2003, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $94.98, Excess $1150, Half-excess 2, Category power, Postcode 2767, Sum insured $3300, Year built 2003, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $2662.86, Excess $2250, Half-excess 2, Category power, Postcode 2137, Sum insured $300000, Year built 2011, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1657.71, Excess $1750, Half-excess 2, Category power, Postcode 2444, Sum insured $115000, Year built 2006, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $537.99, Excess $1500, Half-excess 3, Category power, Postcode 2330, Sum insured $50000, Year built 2011, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $526.60, Excess $1500, Half-excess 3, Category power, Postcode 2330, Sum insured $50000, Year built 2011, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $354.27, Excess $1150, Half-excess 2, Category power, Postcode 3551, Sum insured $3000, Year built 1973, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $347.81, Excess $1150, Half-excess 2, Category power, Postcode 3551, Sum insured $2000, Year built 1973, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $242.71, Excess $450, Half-excess 2, Category power, Postcode 4568, Sum insured $10900, Year built 2016, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $594.19, Excess $950, Half-excess 2, Category power, Postcode 3551, Sum insured $3000, Year built 1973, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $113.39, Excess $650, Half-excess 2, Category power, Postcode 4568, Sum insured $10900, Year built 2016, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $526.60, Excess $1500, Half-excess 3, Category power, Postcode 2330, Sum insured $50000, Year built 2011, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $310.45, Excess $500, Half-excess 2, Category power, Postcode 6211, Sum insured $30000, Year built 2011, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $458.11, Excess $500, Half-excess 2, Category power, Postcode 4740, Sum insured $23000, Year built 2020, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $437.70, Excess $500, Half-excess 2, Category power, Postcode 2000, Sum insured $23000, Year built 2020, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $458.11, Excess $500, Half-excess 2, Category power, Postcode 4740, Sum insured $23000, Year built 2020, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $458.11, Excess $500, Half-excess 2, Category power, Postcode 4740, Sum insured $23000, Year built 2020, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $438.42, Excess $500, Half-excess 2, Category power, Postcode 2107, Sum insured $23000, Year built 2020, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $447.07, Excess $500, Half-excess 2, Category power, Postcode 4000, Sum insured $23000, Year built 2020, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $557.94, Excess $500, Half-excess 2, Category power, Postcode 2101, Sum insured $38000, Year built 2013, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $560.76, Excess $500, Half-excess 2, Category power, Postcode 2101, Sum insured $37000, Year built 2013, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $767.84, Excess $1000, Half-excess 2, Category power, Postcode 3342, Sum insured $20000, Year built 1973, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $680.78, Excess $1250, Half-excess 2, Category power, Postcode 4575, Sum insured $55000, Year built 1980, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $465.30, Excess $1000, Half-excess 2, Category power, Postcode 4575, Sum insured $35000, Year built 1980, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $460.91, Excess $1000, Half-excess 2, Category power, Postcode 4575, Sum insured $35000, Year built 1982, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $198.51, Excess $950, Half-excess 2, Category power, Postcode 2640, Sum insured $12, Year built 2005, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $297.92, Excess $500, Half-excess 1, Category power, Postcode 3805, Sum insured $16000, Year built 2000, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $468.86, Excess $950, Half-excess 2, Category power, Postcode 2081, Sum insured $220, Year built 2000, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Bad
Customer: Premium $959.79, Excess $1000, Half-excess 2, Category power, Postcode 4306, Sum insured $30000, Year built 1987, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $856.98, Excess $1250, Half-excess 2, Category power, Postcode 3191, Sum insured $40000, Year built 2000, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $856.98, Excess $1250, Half-excess 2, Category power, Postcode 3191, Sum insured $40000, Year built 2000, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $289.19, Excess $1000, Half-excess 2, Category power, Postcode 4207, Sum insured $16000, Year built 1992, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $910.02, Excess $1000, Half-excess 2, Category power, Postcode 4306, Sum insured $27000, Year built 1987, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $910.02, Excess $1000, Half-excess 2, Category power, Postcode 4306, Sum insured $27000, Year built 1987, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $460.27, Excess $750, Half-excess 2, Category power, Postcode 4878, Sum insured $50000, Year built 2020, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1018.36, Excess $3500, Half-excess 3, Category power, Postcode 2179, Sum insured $95000, Year built 1984, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1295.36, Excess $1250, Half-excess 2, Category power, Postcode 4208, Sum insured $49000, Year built 1986, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1841.87, Excess $1500, Half-excess 2, Category power, Postcode 2324, Sum insured $75000, Year built 1989, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $421.24, Excess $500, Half-excess 2, Category power, Postcode 2224, Sum insured $20000, Year built 2019, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $1841.87, Excess $1500, Half-excess 2, Category power, Postcode 2324, Sum insured $75000, Year built 1989, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $2744.48, Excess $3250, Half-excess 2, Category power, Postcode 4878, Sum insured $340000, Year built 2016, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $603.59, Excess $1000, Half-excess 2, Category power, Postcode 3195, Sum insured $26000, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $597.09, Excess $1000, Half-excess 2, Category power, Postcode 3195, Sum insured $26000, Year built 2002, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $525.71, Excess $1000, Half-excess 2, Category power, Postcode 2210, Sum insured $70000, Year built 2015, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $294.94, Excess $950, Half-excess 2, Category power, Postcode 4020, Sum insured $5000, Year built 1982, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $2277.95, Excess $1750, Half-excess 2, Category power, Postcode 6153, Sum insured $100000, Year built 1979, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $347.81, Excess $1150, Half-excess 2, Category power, Postcode 3551, Sum insured $2000, Year built 1973, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $1109.80, Excess $1250, Half-excess 2, Category power, Postcode 6210, Sum insured $60000, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $262.16, Excess $475, Half-excess 1, Category power, Postcode 2284, Sum insured $8000, Year built 1982, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $591.32, Excess $950, Half-excess 2, Category power, Postcode 3763, Sum insured $10000, Year built 2006, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $595.66, Excess $2250, Half-excess 2, Category power, Postcode 6701, Sum insured $80000, Year built 1998, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $600.45, Excess $950, Half-excess 2, Category power, Postcode 3763, Sum insured $10000, Year built 2006, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $6431.49, Excess $1250, Half-excess 2, Category power, Postcode 4216, Sum insured $1300000, Year built 2016, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $354.46, Excess $1150, Half-excess 2, Category power, Postcode 3763, Sum insured $10000, Year built 2006, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $354.46, Excess $1150, Half-excess 2, Category power, Postcode 3763, Sum insured $10000, Year built 2006, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $335.28, Excess $250, Half-excess 1, Category power, Postcode 4510, Sum insured $27500, Year built 2016, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $338.11, Excess $250, Half-excess 1, Category power, Postcode 4510, Sum insured $28000, Year built 2016, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $664.82, Excess $1000, Half-excess 2, Category power, Postcode 2263, Sum insured $20000, Year built 1990, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $8140.75, Excess $3750, Half-excess 2, Category power, Postcode 3915, Sum insured $920000, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $837.82, Excess $1000, Half-excess 2, Category power, Postcode 2223, Sum insured $25000, Year built 2000, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $672.72, Excess $625, Half-excess 1, Category power, Postcode 3136, Sum insured $56000, Year built 2005, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $557.65, Excess $950, Half-excess 2, Category power, Postcode 2280, Sum insured $30, Year built 1985, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $282.59, Excess $950, Half-excess 2, Category power, Postcode 4670, Sum insured $5000, Year built 1980, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $2059.70, Excess $1750, Half-excess 2, Category power, Postcode 4163, Sum insured $120000, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $2059.70, Excess $1750, Half-excess 2, Category power, Postcode 4163, Sum insured $120000, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1762.09, Excess $1750, Half-excess 2, Category power, Postcode 4163, Sum insured $120000, Year built 2006, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $429.55, Excess $1250, Half-excess 2, Category power, Postcode 6169, Sum insured $45000, Year built 1998, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1137.17, Excess $1250, Half-excess 2, Category power, Postcode 3912, Sum insured $39000, Year built 1986, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $393.59, Excess $1000, Half-excess 2, Category power, Postcode 4130, Sum insured $19000, Year built 1983, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $5018.50, Excess $4750, Half-excess 2, Category power, Postcode 6160, Sum insured $775000, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $4622.33, Excess $4750, Half-excess 2, Category power, Postcode 6160, Sum insured $700000, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $4106.04, Excess $2750, Half-excess 2, Category power, Postcode 2069, Sum insured $250000, Year built 1990, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $380.08, Excess $950, Half-excess 2, Category power, Postcode 3029, Sum insured $10000, Year built 2000, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $1676.89, Excess $1750, Half-excess 2, Category power, Postcode 6210, Sum insured $125000, Year built 2005, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $545.47, Excess $500, Half-excess 2, Category power, Postcode 2262, Sum insured $24000, Year built 2011, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $1929.13, Excess $1000, Half-excess 2, Category power, Postcode 4511, Sum insured $35000, Year built 1955, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1836.29, Excess $1000, Half-excess 2, Category power, Postcode 4511, Sum insured $32000, Year built 1955, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $502.30, Excess $750, Half-excess 2, Category power, Postcode 3146, Sum insured $58000, Year built 2021, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $647.30, Excess $750, Half-excess 2, Category power, Postcode 3146, Sum insured $58000, Year built 2021, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $519.00, Excess $500, Half-excess 2, Category power, Postcode 3000, Sum insured $30000, Year built 2018, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $711.80, Excess $750, Half-excess 2, Category power, Postcode 3146, Sum insured $58000, Year built 2021, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $502.30, Excess $750, Half-excess 2, Category power, Postcode 3146, Sum insured $58000, Year built 2021, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $471.20, Excess $1250, Half-excess 2, Category power, Postcode 6027, Sum insured $60000, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $876.73, Excess $1000, Half-excess 2, Category power, Postcode 4306, Sum insured $25000, Year built 1987, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1120.82, Excess $625, Half-excess 1, Category power, Postcode 4179, Sum insured $40000, Year built 1986, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $350.59, Excess $500, Half-excess 2, Category power, Postcode 3951, Sum insured $26500, Year built 2020, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $779.49, Excess $1000, Half-excess 2, Category power, Postcode 2088, Sum insured $73000, Year built 2016, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $687.46, Excess $1000, Half-excess 2, Category power, Postcode 2530, Sum insured $14000, Year built 1985, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1848.14, Excess $1750, Half-excess 2, Category power, Postcode 2264, Sum insured $150000, Year built 2005, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $548.98, Excess $1000, Half-excess 2, Category power, Postcode 6000, Sum insured $35000, Year built 2006, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $586.73, Excess $1000, Half-excess 2, Category power, Postcode 6743, Sum insured $35000, Year built 2006, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $3495.36, Excess $3750, Half-excess 2, Category power, Postcode 3020, Sum insured $400000, Year built 2008, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $418.00, Excess $750, Half-excess 2, Category power, Postcode 4818, Sum insured $40000, Year built 2020, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $3430.46, Excess $3750, Half-excess 2, Category power, Postcode 2256, Sum insured $380000, Year built 2008, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $460.27, Excess $750, Half-excess 2, Category power, Postcode 4878, Sum insured $50000, Year built 2020, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $288.07, Excess $2000, Half-excess 3, Category power, Postcode 3223, Sum insured $15000, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $549.64, Excess $500, Half-excess 2, Category power, Postcode 3941, Sum insured $35500, Year built 2014, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $8140.75, Excess $3750, Half-excess 2, Category power, Postcode 3915, Sum insured $920000, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $570.65, Excess $1000, Half-excess 2, Category power, Postcode 4740, Sum insured $18000, Year built 1990, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $456.58, Excess $500, Half-excess 2, Category power, Postcode 2213, Sum insured $30000, Year built 2011, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $267.89, Excess $1150, Half-excess 2, Category power, Postcode 3909, Sum insured $2000, Year built 1969, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $456.58, Excess $500, Half-excess 2, Category power, Postcode 2213, Sum insured $30000, Year built 2011, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $509.92, Excess $950, Half-excess 2, Category power, Postcode 4740, Sum insured $4000, Year built 1981, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $517.26, Excess $950, Half-excess 2, Category power, Postcode 4740, Sum insured $4000, Year built 1981, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $726.29, Excess $1250, Half-excess 2, Category power, Postcode 2870, Sum insured $43000, Year built 2010, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $684.26, Excess $625, Half-excess 1, Category power, Postcode 4509, Sum insured $57000, Year built 2004, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $533.36, Excess $625, Half-excess 1, Category power, Postcode 4509, Sum insured $56000, Year built 2004, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $225.72, Excess $950, Half-excess 2, Category power, Postcode 4509, Sum insured $12000, Year built 2002, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1056.69, Excess $1250, Half-excess 2, Category power, Postcode 5159, Sum insured $96800, Year built 2016, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $215.20, Excess $475, Half-excess 1, Category power, Postcode 4509, Sum insured $10000, Year built 2002, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1109.80, Excess $1250, Half-excess 2, Category power, Postcode 6210, Sum insured $60000, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1078.15, Excess $1250, Half-excess 2, Category power, Postcode 6160, Sum insured $65000, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $359.50, Excess $950, Half-excess 2, Category power, Postcode 2527, Sum insured $3500, Year built 2001, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $359.50, Excess $950, Half-excess 2, Category power, Postcode 2527, Sum insured $3500, Year built 2001, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $356.24, Excess $475, Half-excess 1, Category power, Postcode 2527, Sum insured $3000, Year built 2001, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $579.01, Excess $950, Half-excess 2, Category power, Postcode 3551, Sum insured $2000, Year built 1973, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $347.81, Excess $1150, Half-excess 2, Category power, Postcode 3551, Sum insured $2000, Year built 1973, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $541.51, Excess $1150, Half-excess 2, Category power, Postcode 5253, Sum insured $10000, Year built 1931, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1404.76, Excess $1750, Half-excess 2, Category power, Postcode 4179, Sum insured $100000, Year built 2004, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $634.64, Excess $1000, Half-excess 2, Category power, Postcode 2749, Sum insured $74000, Year built 2021, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1113.00, Excess $2500, Half-excess 3, Category power, Postcode 4216, Sum insured $55000, Year built 1988, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $229.79, Excess $950, Half-excess 2, Category power, Postcode 2528, Sum insured $12000, Year built 2008, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $521.51, Excess $500, Half-excess 2, Category power, Postcode 5211, Sum insured $32000, Year built 2020, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $1287.66, Excess $1250, Half-excess 2, Category power, Postcode 2646, Sum insured $135000, Year built 2021, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $284.66, Excess $500, Half-excess 2, Category power, Postcode 2539, Sum insured $25000, Year built 2020, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1583.57, Excess $1250, Half-excess 2, Category power, Postcode 2324, Sum insured $60000, Year built 1989, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $313.58, Excess $500, Half-excess 2, Category power, Postcode 2710, Sum insured $20000, Year built 2015, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1841.87, Excess $1500, Half-excess 2, Category power, Postcode 2324, Sum insured $75000, Year built 1989, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $216.69, Excess $450, Half-excess 2, Category power, Postcode 2800, Sum insured $5000, Year built 2017, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1836.58, Excess $1750, Half-excess 2, Category power, Postcode 2280, Sum insured $150000, Year built 2005, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $259.11, Excess $500, Half-excess 2, Category power, Postcode 3191, Sum insured $15000, Year built 2020, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $623.16, Excess $1000, Half-excess 2, Category power, Postcode 2250, Sum insured $17000, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $294.30, Excess $500, Half-excess 1, Category power, Postcode 2179, Sum insured $15000, Year built 2009, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $313.90, Excess $500, Half-excess 1, Category power, Postcode 2179, Sum insured $18000, Year built 2009, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $284.76, Excess $1000, Half-excess 2, Category power, Postcode 3377, Sum insured $15000, Year built 2009, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $979.51, Excess $1000, Half-excess 2, Category power, Postcode 3752, Sum insured $80000, Year built 2012, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $979.51, Excess $1000, Half-excess 2, Category power, Postcode 3752, Sum insured $80000, Year built 2012, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $329.28, Excess $1150, Half-excess 2, Category power, Postcode 2605, Sum insured $5000, Year built 1979, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $540.33, Excess $950, Half-excess 2, Category power, Postcode 2605, Sum insured $5000, Year built 1979, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $404.87, Excess $500, Half-excess 2, Category power, Postcode 2565, Sum insured $26000, Year built 2012, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Bad
